tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
42;MTA.TFIN;Long;379;breakout_52;30/09/2005 00:00:00;26,33;volatility exit;14/10/2005 00:00:00;30,11;1432,62;2630,26;0
43;MTA.BSS;Long;1414;breakout_n;11/11/2005 00:00:00;7,07;volatility exit;18/11/2005 00:00:00;6,79;-395,92;325,22;-395,92
44;MTA.PRT;Long;1326;breakout_n;25/11/2005 00:00:00;7,54;volatility exit;02/12/2005 00:00:00;7,5;-53,04;477,36;-53,04
45;MTA.GEO;Long;1039;breakout_52;09/12/2005 00:00:00;9,62;volatility exit;16/12/2005 00:00:00;9,13;-509,11;0;-509,11
46;MTA.DAL;Long;1607;breakout_n;23/12/2005 00:00:00;6,22;volatility exit;30/12/2005 00:00:00;6,5;449,96;1012,41;0
47;MTA.GEO;Long;1029;breakout_n;06/01/2006 00:00:00;9,71;volatility exit;13/01/2006 00:00:00;9,26;-463,050000000001;41,16;-463,05
48;MTA.DAL;Long;1459;breakout_n;13/01/2006 00:00:00;6,85;volatility exit;20/01/2006 00:00:00;6,74;-160,49;481,47;-160,49
49;MTA.PRT;Long;1117;breakout_n;06/01/2006 00:00:00;8,95;volatility exit;20/01/2006 00:00:00;10,26;1463,27;2066,45;0
50;MTA.PINF;Long;445;breakout_n;20/01/2006 00:00:00;22,44;volatility exit;27/01/2006 00:00:00;20,9;-685,3;267;-685,3
51;MTA.BSS;Long;1369;breakout_n;27/01/2006 00:00:00;7,3;volatility exit;03/02/2006 00:00:00;7,25;-68,45;670,81;-164,28
52;MTA.EM;Long;5813;breakout_n;03/02/2006 00:00:00;1,72;volatility exit;10/02/2006 00:00:00;1,66;-348,779999999999;290,65;-465,04
53;MTA.TFIN;Long;299;breakout_n;03/02/2006 00:00:00;33,39;volatility exit;10/02/2006 00:00:00;31,84;-463,45;89,7;-744,51
54;MTA.CAI;Long;1930;breakout_n;10/02/2006 00:00:00;5,18;volatility exit;17/02/2006 00:00:00;4,83;-675,499999999999;270,2;-675,5
55;MTA.GEO;Long;1025;breakout_n;03/02/2006 00:00:00;9,75;volatility exit;17/02/2006 00:00:00;9,62;-133,249999999999;389,5;-553,5
56;MTA.DAL;Long;1364;breakout_52;03/02/2006 00:00:00;7,33;volatility exit;24/02/2006 00:00:00;7,31;-27,279999999999;504,68;-190,96
57;MTA.RN;Long;2506;breakout_n;20/01/2006 00:00:00;3,99;volatility exit;24/02/2006 00:00:00;4,43;1102,64;1704,08;0
58;MTA.PRO;Long;8064;breakout_52;17/02/2006 00:00:00;1,24;volatility exit;03/03/2006 00:00:00;1,32;645,120000000001;1209,6;0
59;MTA.BO;Long;3968;breakout_n;24/02/2006 00:00:00;2,52;volatility exit;03/03/2006 00:00:00;2,91;1547,52;3293,44;0
60;MTA.IGV;Long;3115;breakout_n;17/02/2006 00:00:00;3,21;volatility exit;03/03/2006 00:00:00;3,81;1869;2834,65;0
61;MTA.SAB;Long;572;breakout_52;10/02/2006 00:00:00;17,46;volatility exit;03/03/2006 00:00:00;18,29;474,759999999999;1418,56;-234,52
62;MTA.SGF;Long;2439;breakout_52;17/02/2006 00:00:00;4,1;volatility exit;03/03/2006 00:00:00;4,27;414,630000000002;1219,5;0
63;MTA.PRT;Long;875;breakout_52;03/02/2006 00:00:00;11,42;volatility exit;10/03/2006 00:00:00;14,8;2957,5;3797,5;-490
64;MTA.IGD;Long;660;breakout_52;03/03/2006 00:00:00;15,14;volatility exit;10/03/2006 00:00:00;15,3;105,6;640,2;0
65;MTA.IMS;Long;4000;breakout_n;03/03/2006 00:00:00;2,5;volatility exit;10/03/2006 00:00:00;2,47;-119,999999999999;520;-120
66;MTA.TFIN;Long;296;breakout_n;03/03/2006 00:00:00;33,69;volatility exit;10/03/2006 00:00:00;32,78;-269,359999999999;449,92;-269,36
67;MTA.BSS;Long;1121;breakout_n;03/03/2006 00:00:00;8,92;volatility exit;17/03/2006 00:00:00;10,32;1569,4;2185,95;-212,99
68;MTA.EM;Long;5649;breakout_n;17/03/2006 00:00:00;1,77;volatility exit;24/03/2006 00:00:00;1,75;-112,98;508,41;-112,98
69;MTA.GEO;Long;987;breakout_n;03/03/2006 00:00:00;10,13;volatility exit;24/03/2006 00:00:00;10,96;819,21;1391,67;0
70;MTA.IGV;Long;2427;breakout_n;17/03/2006 00:00:00;4,12;volatility exit;24/03/2006 00:00:00;4,46;825,18;1771,71;0
71;MTA.RN;Long;2053;breakout_52;10/03/2006 00:00:00;4,87;volatility exit;24/03/2006 00:00:00;5,69;1683,46;2299,36;0
72;MTA.B;Long;10638;breakout_n;24/03/2006 00:00:00;0,94;volatility exit;31/03/2006 00:00:00;0,9;-425,52;106,38;-425,52
73;MTA.PRO;Long;7194;breakout_n;24/03/2006 00:00:00;1,39;volatility exit;31/03/2006 00:00:00;1,39;0;575,52;0
74;MTA.IGD;Long;539;breakout_52;24/03/2006 00:00:00;18,55;volatility exit;31/03/2006 00:00:00;16,66;-1018,71;0;-1137,29
75;MTA.FNM;Long;14285;breakout_n;17/03/2006 00:00:00;0,7;volatility exit;07/04/2006 00:00:00;0,72;285,699999999999;1142,8;0
76;MTA.SAB;Long;494;breakout_n;24/03/2006 00:00:00;20,24;volatility exit;07/04/2006 00:00:00;20,88;316,159999999999;879,32;0
77;MTA.IGV;Long;2061;breakout_n;07/04/2006 00:00:00;4,85;volatility exit;14/04/2006 00:00:00;4,62;-474,030000000001;41,22;-618,3
78;MTA.RN;Long;1669;breakout_n;07/04/2006 00:00:00;5,99;volatility exit;14/04/2006 00:00:00;6,05;100,139999999999;634,22;0
79;MTA.SGF;Long;2173;breakout_n;07/04/2006 00:00:00;4,6;volatility exit;14/04/2006 00:00:00;4,48;-260,76;260,76;-260,76
80;MTA.BAN;Long;17241;breakout_n;31/03/2006 00:00:00;0,58;volatility exit;21/04/2006 00:00:00;1,26;11723,88;17413,41;0
81;MTA.BSS;Long;919;breakout_n;21/04/2006 00:00:00;10,87;volatility exit;28/04/2006 00:00:00;11,68;744,389999999999;1314,17;0
82;MTA.TFIN;Long;279;breakout_n;07/04/2006 00:00:00;35,79;volatility exit;28/04/2006 00:00:00;42,27;1807,92;3208,5;-128,34
83;MTA.PRT;Long;634;breakout_n;28/04/2006 00:00:00;15,76;volatility exit;05/05/2006 00:00:00;17,26;951,000000000001;1527,94;0
84;MTA.GEO;Long;866;breakout_n;05/05/2006 00:00:00;11,54;volatility exit;12/05/2006 00:00:00;11,13;-355,06;155,88;-355,06
85;MTA.PRO;Long;6451;breakout_n;12/05/2006 00:00:00;1,55;volatility exit;19/05/2006 00:00:00;1,48;-451,57;258,04;-451,57
86;MTA.BSS;Long;813;breakout_n;12/05/2006 00:00:00;12,3;volatility exit;19/05/2006 00:00:00;12,14;-130,08;780,48;-130,08
87;MTA.IGV;Long;2053;breakout_n;12/05/2006 00:00:00;4,87;volatility exit;19/05/2006 00:00:00;4,49;-780,14;205,3;-780,14
88;MTA.SAB;Long;454;breakout_n;12/05/2006 00:00:00;22,02;volatility exit;19/05/2006 00:00:00;21,75;-122,58;399,52;-122,58
89;MTA.SGF;Long;2118;breakout_n;28/04/2006 00:00:00;4,72;volatility exit;19/05/2006 00:00:00;4,61;-232,979999999999;296,52;-232,98
90;MTA.IGD;Long;566;breakout_n;08/09/2006 00:00:00;17,65;volatility exit;13/10/2006 00:00:00;19,78;1205,58;1811,2;-260,36
91;MTA.TFIN;Long;219;breakout_n;06/10/2006 00:00:00;45,5;volatility exit;13/10/2006 00:00:00;44,2;-284,699999999999;225,57;-343,83
92;MTA.IGV;Long;2074;breakout_n;03/11/2006 00:00:00;4,82;volatility exit;10/11/2006 00:00:00;4,95;269,62;1244,4;0
93;MTA.IGD;Long;479;breakout_n;03/11/2006 00:00:00;20,85;volatility exit;10/11/2006 00:00:00;19,9;-455,05;268,24;-455,05
94;MTA.KME;Long;9090;breakout_52;03/11/2006 00:00:00;1,1;volatility exit;10/11/2006 00:00:00;1,04;-545,4;0;-727,2
95;MTA.SAB;Long;453;breakout_n;27/10/2006 00:00:00;22,05;volatility exit;10/11/2006 00:00:00;22,94;403,17;1186,86;-167,61
96;MTA.TFIN;Long;214;breakout_n;27/10/2006 00:00:00;46,53;volatility exit;17/11/2006 00:00:00;46,88;74,9;603,48;-447,26
97;MTA.BSS;Long;782;breakout_n;10/11/2006 00:00:00;12,78;volatility exit;24/11/2006 00:00:00;13,88;860,2;1438,88;0
98;MTA.KME;Long;8771;breakout_52;24/11/2006 00:00:00;1,14;volatility exit;01/12/2006 00:00:00;1,07;-613,970000000001;350,84;-613,97
99;MTA.IGV;Long;1845;breakout_n;01/12/2006 00:00:00;5,42;volatility exit;08/12/2006 00:00:00;5,58;295,2;848,7;0
100;MTA.IGD;Long;445;breakout_52;24/11/2006 00:00:00;22,47;volatility exit;08/12/2006 00:00:00;24,47;890;1686,55;-356
101;MTA.TFIN;Long;179;breakout_52;01/12/2006 00:00:00;55,61;volatility exit;08/12/2006 00:00:00;55,36;-44,75;477,93;-44,75
102;MTA.CSP;Long;8403;breakout_52;08/12/2006 00:00:00;1,19;volatility exit;15/12/2006 00:00:00;1,23;336,12;924,33;0
103;MTA.ETH;Long;1101;breakout_52;08/12/2006 00:00:00;9,08;volatility exit;15/12/2006 00:00:00;9;-88,08;440,4;-88,08
104;MTA.KME;Long;8474;breakout_n;15/12/2006 00:00:00;1,18;volatility exit;22/12/2006 00:00:00;1,14;-338,959999999998;169,48;-338,96
105;MTA.SFL;Long;300;breakout_52;15/12/2006 00:00:00;33,32;volatility exit;22/12/2006 00:00:00;32,99;-98,999999999999;423;-99
106;MTA.BSS;Long;676;breakout_n;15/12/2006 00:00:00;14,78;volatility exit;29/12/2006 00:00:00;14,84;40,559999999999;608,4;-47,32
107;MTA.RN;Long;1589;breakout_n;03/11/2006 00:00:00;6,29;volatility exit;05/01/2007 00:00:00;8,12;2907,87;4210,85;0
108;MTA.CSP;Long;6944;breakout_n;05/01/2007 00:00:00;1,44;volatility exit;12/01/2007 00:00:00;1,4;-277,759999999999;277,76;-277,76
109;MTA.GEO;Long;851;breakout_n;15/12/2006 00:00:00;11,74;volatility exit;12/01/2007 00:00:00;11,74;0;527,62;-119,14
110;MTA.IGV;Long;1700;breakout_n;05/01/2007 00:00:00;5,88;volatility exit;12/01/2007 00:00:00;5,69;-322,999999999999;391;-323
111;MTA.IGD;Long;366;breakout_n;05/01/2007 00:00:00;27,28;volatility exit;12/01/2007 00:00:00;26,21;-391,62;113,46;-391,62
112;MTA.CIA;Long;33333;breakout_52;12/01/2007 00:00:00;0,3;volatility exit;19/01/2007 00:00:00;0,39;2999,97;4999,95;0
113;MTA.ITW;Long;1308;breakout_52;12/01/2007 00:00:00;7,64;volatility exit;19/01/2007 00:00:00;7,81;222,36;771,72;0
114;MTA.FDA;Long;1677;breakout_n;12/01/2007 00:00:00;5,96;volatility exit;26/01/2007 00:00:00;7,95;3337,23;5181,93;0
115;MTA.BRI;Long;18518;breakout_52;26/01/2007 00:00:00;0,54;volatility exit;02/02/2007 00:00:00;0,55;185,18;925,9;-555,54
116;MTA.IGV;Long;1636;breakout_n;26/01/2007 00:00:00;6,11;volatility exit;02/02/2007 00:00:00;5,92;-310,840000000001;212,68;-310,84
117;MTA.SAB;Long;405;breakout_n;26/01/2007 00:00:00;24,67;volatility exit;02/02/2007 00:00:00;24,43;-97,200000000001;425,25;-97,2
118;MTA.PRT;Long;629;breakout_n;02/02/2007 00:00:00;15,89;volatility exit;09/02/2007 00:00:00;15,39;-314,5;194,99;-314,5
119;MTA.ZUC;Long;117;breakout_52;02/02/2007 00:00:00;84,85;volatility exit;09/02/2007 00:00:00;82,5;-274,950000000001;234;-274,95
120;MTA.CSP;Long;6756;breakout_n;09/02/2007 00:00:00;1,48;volatility exit;16/02/2007 00:00:00;1,58;675,600000000001;1351,2;0
121;MTA.FDA;Long;1069;breakout_52;09/02/2007 00:00:00;9,35;volatility exit;16/02/2007 00:00:00;9,05;-320,699999999999;192,42;-320,7
122;MTA.IGD;Long;362;breakout_n;02/02/2007 00:00:00;27,59;volatility exit;16/02/2007 00:00:00;28,51;333,040000000001;962,92;0
123;MTA.CLE;Long;2074;breakout_52;09/02/2007 00:00:00;4,82;volatility exit;23/02/2007 00:00:00;5,32;1037;1617,72;-788,12
124;MTA.GEO;Long;809;breakout_n;26/01/2007 00:00:00;12,36;volatility exit;23/02/2007 00:00:00;12,69;266,97;809;-169,89
125;MTA.IRC;Long;3154;breakout_52;16/02/2007 00:00:00;3,17;volatility exit;23/02/2007 00:00:00;3,04;-410,02;126,16;-599,26
126;MTA.SGF;Long;2028;breakout_n;09/02/2007 00:00:00;4,93;volatility exit;23/02/2007 00:00:00;4,97;81,12;628,68;-40,56
127;MTA.TFIN;Long;165;breakout_n;02/02/2007 00:00:00;60,58;volatility exit;23/02/2007 00:00:00;65,45;803,550000000001;1372,8;0
128;MTA.B;Long;10204;breakout_52;09/02/2007 00:00:00;0,98;volatility exit;02/03/2007 00:00:00;0,99;102,04;714,28;-408,16
129;MTA.BSS;Long;637;breakout_n;19/01/2007 00:00:00;15,68;volatility exit;02/03/2007 00:00:00;20,14;2841,02;3809,26;0
130;MTA.BRI;Long;16949;breakout_n;23/02/2007 00:00:00;0,59;volatility exit;02/03/2007 00:00:00;0,57;-338,979999999998;169,49;-338,98
131;MTA.CLF;Long;3164;breakout_52;17/11/2006 00:00:00;3,16;volatility exit;02/03/2007 00:00:00;3,69;1676,92;2499,56;-284,76
132;MTA.CIR;Long;3703;breakout_52;12/01/2007 00:00:00;2,7;volatility exit;02/03/2007 00:00:00;2,91;777,63;1666,35;-148,12
133;MTA.EM;Long;5291;breakout_52;23/02/2007 00:00:00;1,89;volatility exit;02/03/2007 00:00:00;1,84;-264,55;529,1;-529,1
134;MTA.OLI;Long;7042;breakout_52;23/02/2007 00:00:00;1,42;volatility exit;02/03/2007 00:00:00;1,26;-1126,72;211,26;-1126,72
135;MTA.RN;Long;1118;breakout_n;23/02/2007 00:00:00;8,94;volatility exit;02/03/2007 00:00:00;8,47;-525,459999999999;67,08;-603,72
136;MTA.SAB;Long;388;breakout_n;16/02/2007 00:00:00;25,72;volatility exit;02/03/2007 00:00:00;25,83;42,680000000001;570,36;0
137;MTA.DIB;Long;2222;breakout_52;16/02/2007 00:00:00;4,5;volatility exit;09/03/2007 00:00:00;5;1111;2510,86;-244,42
138;MTA.XPR;Long;5714;breakout_n;02/03/2007 00:00:00;1,75;volatility exit;09/03/2007 00:00:00;1,83;457,12;1142,8;-1714,2
139;MTA.KME;Long;8333;breakout_n;02/03/2007 00:00:00;1,2;volatility exit;09/03/2007 00:00:00;1,07;-1083,29;83,33;-1083,29
140;MTA.CLE;Long;1785;breakout_n;09/03/2007 00:00:00;5,6;volatility exit;16/03/2007 00:00:00;5,97;660,449999999999;1231,65;0
141;MTA.ITW;Long;1215;breakout_n;09/03/2007 00:00:00;8,23;volatility exit;16/03/2007 00:00:00;7,88;-425,250000000001;243;-425,25
142;MTA.EM;Long;5025;breakout_n;16/03/2007 00:00:00;1,99;volatility exit;23/03/2007 00:00:00;1,92;-351,75;251,25;-402
143;MTA.FDA;Long;853;breakout_n;09/03/2007 00:00:00;11,72;volatility exit;23/03/2007 00:00:00;18,07;5416,55;7114,02;0
144;MTA.OLI;Long;3952;breakout_52;16/03/2007 00:00:00;2,53;volatility exit;23/03/2007 00:00:00;3;1857,44;3675,36;0
145;MTA.BE;Long;10526;breakout_52;23/03/2007 00:00:00;0,95;volatility exit;30/03/2007 00:00:00;0,8;-1578,9;421,04;-1684,16
146;MTA.KME;Long;8264;breakout_n;23/03/2007 00:00:00;1,21;volatility exit;30/03/2007 00:00:00;1,17;-330,56;247,92;-330,56
147;MTA.SGF;Long;1848;breakout_n;23/03/2007 00:00:00;5,41;volatility exit;06/04/2007 00:00:00;5,34;-129,360000000001;406,56;-517,44
148;MTA.BSS;Long;461;breakout_n;30/03/2007 00:00:00;21,66;volatility exit;13/04/2007 00:00:00;21,79;59,93;590,08;-511,71
149;MTA.CSP;Long;5076;breakout_n;06/04/2007 00:00:00;1,97;volatility exit;13/04/2007 00:00:00;2,01;203,040000000001;862,92;0
150;MTA.ZUC;Long;115;breakout_n;30/03/2007 00:00:00;86,85;volatility exit;13/04/2007 00:00:00;88,72;215,049999999999;755,55;0
151;MTA.BE;Long;7246;breakout_52;13/04/2007 00:00:00;1,38;volatility exit;20/04/2007 00:00:00;1,71;2391,18;3043,32;0
152;MTA.CIA;Long;22222;breakout_n;06/04/2007 00:00:00;0,45;volatility exit;20/04/2007 00:00:00;0,56;2444,42;5999,94;0
153;MTA.GEO;Long;748;breakout_n;06/04/2007 00:00:00;13,36;volatility exit;20/04/2007 00:00:00;13,69;246,84;792,88;0
154;MTA.KME;Long;7407;breakout_52;13/04/2007 00:00:00;1,35;volatility exit;20/04/2007 00:00:00;1,31;-296,28;222,21;-296,28
155;MTA.B;Long;9523;breakout_n;20/04/2007 00:00:00;1,05;volatility exit;27/04/2007 00:00:00;0,99;-571,380000000001;0;-571,38
156;MTA.EM;Long;4830;breakout_52;06/04/2007 00:00:00;2,07;volatility exit;27/04/2007 00:00:00;2,02;-241,499999999999;434,7;-289,8
157;MTA.IGD;Long;330;breakout_n;20/04/2007 00:00:00;30,25;volatility exit;27/04/2007 00:00:00;29,02;-405,9;99;-405,9
158;MTA.IRC;Long;3115;breakout_n;20/04/2007 00:00:00;3,21;volatility exit;27/04/2007 00:00:00;3,92;2211,65;2865,8;0
159;MTA.BRI;Long;16666;breakout_n;20/04/2007 00:00:00;0,6;volatility exit;04/05/2007 00:00:00;0,61;166,66;999,96;0
160;MTA.CSP;Long;3921;breakout_52;27/04/2007 00:00:00;2,55;volatility exit;04/05/2007 00:00:00;2,6;196,049999999999;744,99;-235,26
161;MTA.SAB;Long;367;breakout_n;20/04/2007 00:00:00;27,19;volatility exit;04/05/2007 00:00:00;27,49;110,1;645,92;-168,82
162;MTA.TFIN;Long;145;breakout_n;20/04/2007 00:00:00;68,9;volatility exit;04/05/2007 00:00:00;73,7;696;1258,6;-421,95
