tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
42;MTA.CE;Long;882;breakout_52;03/03/2006 00:00:00;11,33;volatility exit;31/03/2006 00:00:00;11,08;-220,5;335,16;-423,36
43;MTA.ITM;Long;341;breakout_52;24/02/2006 00:00:00;29,26;volatility exit;31/03/2006 00:00:00;32,79;1203,73;1793,66;-245,52
44;MTA.CALT;Long;1308;breakout_52;24/02/2006 00:00:00;7,64;volatility exit;07/04/2006 00:00:00;8,29;850,200000000001;1491,12;-418,56
45;MTA.SG;Long;459;breakout_n;24/03/2006 00:00:00;21,74;volatility exit;07/04/2006 00:00:00;22,16;192,779999999999;729,81;-87,21
46;MTA.JUVE;Long;26315;breakout_52;14/04/2006 00:00:00;0,38;volatility exit;21/04/2006 00:00:00;0,4;526,300000000001;2105,2;0
47;MTA.REY;Long;1828;breakout_n;14/04/2006 00:00:00;5,47;volatility exit;21/04/2006 00:00:00;5,26;-383,88;127,96;-383,88
48;MTA.CEM;Long;1540;breakout_n;21/04/2006 00:00:00;6,49;volatility exit;28/04/2006 00:00:00;6,43;-92,400000000001;431,2;-92,4
49;MTA.SG;Long;412;breakout_n;21/04/2006 00:00:00;24,25;volatility exit;28/04/2006 00:00:00;25,45;494,4;1046,48;0
50;MTA.BZU;Long;506;breakout_n;28/04/2006 00:00:00;19,73;volatility exit;05/05/2006 00:00:00;19,35;-192,279999999999;323,84;-192,28
51;MTA.DAN;Long;1117;breakout_n;21/04/2006 00:00:00;8,95;volatility exit;05/05/2006 00:00:00;9,4;502,649999999999;1061,15;0
52;MTA.BRE;Long;6211;breakout_n;28/04/2006 00:00:00;1,61;volatility exit;19/05/2006 00:00:00;1,57;-248,44;310,55;-248,44
53;MTA.CMB;Long;1683;breakout_n;28/04/2006 00:00:00;5,94;volatility exit;19/05/2006 00:00:00;6,06;201,96;791,01;-235,62
54;MTA.CEM;Long;1438;breakout_52;12/05/2006 00:00:00;6,95;volatility exit;19/05/2006 00:00:00;6,65;-431,4;359,5;-431,4
55;MTA.ITM;Long;281;breakout_n;05/05/2006 00:00:00;35,47;volatility exit;19/05/2006 00:00:00;34,62;-238,85;348,44;-238,85
56;MTA.JUVE;Long;17543;breakout_n;12/05/2006 00:00:00;0,57;volatility exit;19/05/2006 00:00:00;0,42;-2631,45;526,29;-2631,45
57;MTA.REY;Long;1801;breakout_n;12/05/2006 00:00:00;5,55;volatility exit;19/05/2006 00:00:00;5,23;-576,319999999999;144,08;-594,33
58;MTA.SG;Long;373;breakout_n;12/05/2006 00:00:00;26,79;volatility exit;19/05/2006 00:00:00;25,84;-354,35;152,93;-354,35
59;MTA.ACE;Long;981;breakout_n;07/04/2006 00:00:00;10,19;volatility exit;19/05/2006 00:00:00;10,02;-166,77;353,16;-382,59
60;MTA.IRE;Long;4761;breakout_52;14/07/2006 00:00:00;2,1;volatility exit;21/07/2006 00:00:00;2,01;-428,489999999999;95,22;-428,49
